timestamp_ns,tx,ty,tz,qx,qy,qz,qw
149249427000,-0.014972000,-0.018626000,-0.002039000,0.499374924,0.499653552,-0.476505074,0.523367870
149250470000,-0.015333000,-0.018909000,-0.002101000,0.499331518,0.499722804,-0.476481696,0.523364450
149251424000,-0.015664000,-0.019168000,-0.002157000,0.499292310,0.499786249,-0.476459673,0.523361323
149252423000,-0.016012000,-0.019440000,-0.002217000,0.499251573,0.499853718,-0.476435389,0.523357857
149253422000,-0.016360000,-0.019712000,-0.002278000,0.499210229,0.499923005,-0.476409720,0.523354482
149254421000,-0.016709000,-0.019984000,-0.002339000,0.499167649,0.499993627,-0.476383871,0.523351163
149255466000,-0.017076000,-0.020270000,-0.002403000,0.499122245,0.500067440,-0.476357792,0.523347680
149256420000,-0.017411000,-0.020531000,-0.002461000,0.499080839,0.500133821,-0.476334556,0.523344885
149257419000,-0.017763000,-0.020805000,-0.002523000,0.499037852,0.500202526,-0.476309896,0.523342659
149258419000,-0.018117000,-0.021080000,-0.002584000,0.498994789,0.500270687,-0.476284855,0.523341358
149259418000,-0.018471000,-0.021355000,-0.002646000,0.498951831,0.500338864,-0.476259713,0.523340020
149260462000,-0.018842000,-0.021644000,-0.002711000,0.498907511,0.500411429,-0.476232829,0.523337358
149261416000,-0.019182000,-0.021907000,-0.002771000,0.498866797,0.500479708,-0.476207417,0.523334001
149262416000,-0.019539000,-0.022184000,-0.002835000,0.498822830,0.500552384,-0.476181225,0.523330237
149263415000,-0.019897000,-0.022461000,-0.002899000,0.498776840,0.500625827,-0.476156454,0.523326358
