timestamp_ns,w_x,w_y,w_z,a_x,a_y,a_z
5058581305431,0.602204978,-0.121372998,-0.055156998,9.637260437,0.400429994,0.986410975
5058582565797,0.602470994,-0.122172996,-0.058355000,9.674369812,0.401627004,0.988206029
5058583826160,0.602338016,-0.122172996,-0.061818998,9.713873863,0.398633987,0.966657996
5058585086526,0.602070987,-0.121239997,-0.064350002,9.742605209,0.410605013,0.941519022
5058586346889,0.602470994,-0.121372998,-0.068213999,9.771933556,0.429758996,0.943315029
5058587607255,0.601938009,-0.120306998,-0.071277998,9.812035561,0.451306999,0.949299991
5058588867620,0.600072980,-0.118042000,-0.074075997,9.844957352,0.473452985,0.948701978
5058590127983,0.599407017,-0.116443999,-0.077274002,9.859920502,0.478839993,0.935534000
5058591388349,0.598873973,-0.114978001,-0.080471002,9.874285698,0.488417000,0.928950012
5058592648712,0.597540975,-0.113379002,-0.083668999,9.867702484,0.506372988,0.936132014
5058593909078,0.595942974,-0.112180002,-0.085533999,9.868300438,0.512359023,0.949299991
5058595169443,0.594210982,-0.110048003,-0.087398998,9.882664680,0.515350997,0.965461016
5058596429807,0.593810976,-0.107116997,-0.089397997,9.884461403,0.517147005,0.967855990
5058597690172,0.592478991,-0.105518997,-0.092595004,9.889847755,0.519541025,0.980425000
5058598950536,0.590613008,-0.104052998,-0.094460003,9.889847755,0.533905983,1.004966021
5058600210901,0.589681029,-0.102054998,-0.096859001,9.895235062,0.541088998,1.015141010
5058601471212,0.587415993,-0.100455999,-0.100322999,9.900622368,0.546476007,1.021725059
5058602731578,0.585151017,-0.098724000,-0.103119999,9.882066727,0.554256976,1.024718046
5058603991943,0.584084988,-0.097392000,-0.106317997,9.880869865,0.563234985,1.031900048
5058605252306,0.582485974,-0.095660001,-0.109516002,9.894038200,0.571017027,1.036689043
5058606512672,0.580354989,-0.093661003,-0.112580001,9.894636154,0.574009001,1.037286997
5058607773035,0.577822983,-0.091663003,-0.116177000,9.898825645,0.579396009,1.047462940
5058609033401,0.576224029,-0.090462998,-0.119773999,9.901220322,0.585979998,1.049857020
5058610293766,0.574226022,-0.089130998,-0.123905003,9.911396027,0.587776005,1.052850008
5058611554130,0.572360992,-0.086599998,-0.128300995,9.920373917,0.586579025,1.068411946
5058612814495,0.571161985,-0.085000999,-0.131632000,9.930548668,0.593761981,1.081580043
5058614074858,0.568897009,-0.083136000,-0.134029999,9.950302124,0.611717999,1.078587055
5058615335224,0.567031980,-0.080071002,-0.137094006,9.967659950,0.621294975,1.077988982
5058616595587,0.564499974,-0.077540003,-0.139493003,9.974842072,0.628476977,1.086369038
5058617855953,0.562635005,-0.075808004,-0.141757995,9.970651627,0.651221991,1.076192975
5058619116318,0.562102020,-0.073942997,-0.144954994,9.980828285,0.651821017,1.067813039
5058620376681,0.560236990,-0.071410999,-0.147753000,9.995193481,0.654814005,1.092354059
5058621637047,0.558771014,-0.069013000,-0.150417998,9.995791435,0.681150019,1.102529049
5058622897410,0.557305992,-0.066215001,-0.152949005,9.995791435,0.702099025,1.094748020
5058624157776,0.554241002,-0.063418001,-0.153881997,9.995791435,0.712274015,1.096544027
5058625418139,0.550911009,-0.061551999,-0.154680997,9.999980927,0.715866029,1.103127956
5058626678505,0.549578011,-0.059420999,-0.156545997,10.009557724,0.711676002,1.098340034
5058627938870,0.547846019,-0.057555001,-0.158012003,10.019733429,0.699705005,1.081580043
5058629199233,0.545448005,-0.055289999,-0.159476995,10.017937660,0.691923976,1.081580043
5058630459599,0.544248998,-0.053424999,-0.161075994,10.014346123,0.705092013,1.095347047
5058631719962,0.542517006,-0.052226000,-0.161874995,10.026317596,0.699105978,1.111508012
5058632980328,0.540251970,-0.049295001,-0.162407994,10.028113365,0.684741020,1.121083975
5058634240693,0.538919985,-0.046764001,-0.162674993,10.034098625,0.687734008,1.121083975
5058635501005,0.537986994,-0.045430999,-0.163341001,10.035296440,0.690726995,1.126471043
5058636761370,0.537055016,-0.044098999,-0.165073007,10.032901764,0.693121016,1.131260037
5058638021733,0.535588980,-0.043033000,-0.165606007,10.046668053,0.685339987,1.138442039
5058639282099,0.533456981,-0.040369000,-0.165739000,10.061632156,0.693719029,1.140836954
5058640542462,0.531192005,-0.037703998,-0.166405007,10.083778381,0.693719029,1.140836954
5058641802828,0.529992998,-0.035439000,-0.166672006,10.093355179,0.677559018,1.146821976
5058643063193,0.529061019,-0.033840001,-0.167205006,10.114903450,0.676959991,1.153406024
5058644323556,0.527594984,-0.031842001,-0.166139007,10.129267693,0.670975029,1.178544998
5058645583922,0.525862992,-0.029444000,-0.165073007,10.134654999,0.665588021,1.193508983
5058646844285,0.523198009,-0.027311999,-0.165606007,10.149020195,0.672770023,1.194108009
5058648104651,0.521067023,-0.024514001,-0.165073007,10.153209686,0.670376003,1.194108009
5058649365016,0.519600987,-0.021450000,-0.163874000,10.163386345,0.672770023,1.185727954
5058650625380,0.517736018,-0.017852001,-0.163607001,10.161589622,0.686537027,1.181537986
5058651885745,0.515738010,-0.014921000,-0.163341001,10.167574883,0.687734008,1.182137012
5058653146108,0.514271975,-0.012656000,-0.162407994,10.192115784,0.678156972,1.189918041
5058654406474,0.513338983,-0.009725000,-0.160943002,10.201093674,0.683543980,1.196501970
5058655666837,0.510941029,-0.006794000,-0.158677995,10.186129570,0.684143007,1.198297024
5058656927203,0.508276999,-0.003330000,-0.157078996,10.183137894,0.688930988,1.207874060
5058658187568,0.506277978,0.000133000,-0.155614004,10.176553726,0.700901985,1.207874060
5058659447931,0.503880024,0.002931000,-0.153081998,10.171167374,0.696114004,1.209071040
5058660708297,0.502014995,0.005862000,-0.150417998,10.172364235,0.687134981,1.225232005
5058661968660,0.500149012,0.009192000,-0.148019001,10.162187576,0.675163984,1.245583057
5058663231005,0.497750998,0.012390000,-0.145355001,10.159793854,0.667383015,1.259350061
5058664489391,0.495220006,0.014122000,-0.142424002,10.157400131,0.657208025,1.266531944
5058665749755,0.492689013,0.016254000,-0.139358997,10.145428658,0.646434009,1.258152008
5058667010120,0.490289986,0.018652000,-0.137493998,10.135851860,0.633265972,1.263538957
5058668270483,0.488691986,0.020384001,-0.135496005,10.135253906,0.618301988,1.278502941
5058669530849,0.485626996,0.022116000,-0.131764993,10.123283386,0.619499028,1.271919012
5058670791160,0.482829005,0.023448000,-0.128300995,10.111311913,0.630272985,1.279700041
5058672051526,0.481231004,0.024646999,-0.126836002,10.102333069,0.646434009,1.285686016
5058673311891,0.477899998,0.026246000,-0.124837004,10.081982613,0.658405006,1.287481070
5058674572254,0.474168986,0.027977999,-0.122704998,10.058040619,0.656010985,1.294064999
5058675832620,0.471771002,0.030243000,-0.120972998,10.038289070,0.663192987,1.298254967
5058677092983,0.470705003,0.032108001,-0.117642999,10.036493301,0.676361024,1.308431029
5058678353349,0.468573987,0.033041000,-0.114445001,10.023922920,0.671572983,1.325788975
5058679613712,0.464709997,0.033441000,-0.112713002,10.010754585,0.679952979,1.318606019
5058680874078,0.460579991,0.033973001,-0.110182002,10.009557724,0.692521989,1.309028983
5058682134443,0.457381994,0.034506001,-0.106583998,9.998784065,0.685339987,1.316211939
5058683394806,0.454185009,0.034773000,-0.103253998,9.986812592,0.677559018,1.300050974
5058684655172,0.450320989,0.034906000,-0.100189000,9.985017776,0.683543980,1.306635022
5058685915535,0.446723998,0.034773000,-0.097125001,9.986812592,0.680550992,1.319802999
5058687175901,0.443659008,0.034906000,-0.093395002,9.973645210,0.673967004,1.321599007
5058688436266,0.440328985,0.034773000,-0.088198997,9.972448349,0.671572983,1.325190067
5058689696630,0.437130988,0.034773000,-0.083269000,9.982025146,0.661996007,1.333570004
5058690956995,0.433533996,0.034240000,-0.079139002,9.977235794,0.656608999,1.351526022
5058692217358,0.429403991,0.032774001,-0.074343003,9.974244118,0.647032022,1.361701965
5058693477724,0.425406992,0.033174001,-0.070345998,9.967659950,0.644638002,1.373672962
5058694738087,0.422075987,0.033441000,-0.066215001,9.974244118,0.636259019,1.387439013
5058695998453,0.419411004,0.033174001,-0.060885999,9.986214638,0.627279997,1.400009036
5058697258818,0.415015012,0.032508001,-0.056623001,9.963470459,0.629076004,1.398213029
5058698519181,0.410750985,0.031975001,-0.052758999,9.950900078,0.628476977,1.410783052
5058699779547,0.407819986,0.031442001,-0.049428001,9.956886292,0.617703974,1.428140998
5058701039910,0.405021995,0.031176001,-0.045830999,9.959877968,0.599747002,1.442505956
5058702300276,0.401558012,0.031442001,-0.041834000,9.977235794,0.589572012,1.458068013
5058703560641,0.398093998,0.032241002,-0.038637001,9.977235794,0.590170026,1.458667040
5058704821005,0.393963993,0.031709000,-0.035705000,9.970651627,0.587776005,1.465849042
5058706081370,0.390100002,0.031442001,-0.032375000,9.975440979,0.582988024,1.486199975
5058707341681,0.386503011,0.032241002,-0.028511001,9.987411499,0.583585978,1.504157066
5058708602099,0.382239997,0.032908000,-0.026246000,9.985017776,0.584783018,1.505353928
5058709862410,0.378109992,0.033973001,-0.023314999,9.983819962,0.578199029,1.496376038
5058711122775,0.373845994,0.034240000,-0.019850999,9.996390343,0.572812021,1.501163960
5058712383141,0.369715989,0.035305999,-0.017320000,10.001776695,0.572812021,1.507148981
5058713643504,0.365851998,0.036905002,-0.014788000,10.010156631,0.563234985,1.519719005
5058714903870,0.361721992,0.037571002,-0.011457000,10.004171371,0.550665975,1.520318031
5058716164233,0.358657986,0.038502999,-0.007993000,9.994593620,0.526125014,1.502959967
5058717424599,0.355060995,0.039303001,-0.004929000,9.998784065,0.514154017,1.507748008
5058718684964,0.351597011,0.039701998,-0.002398000,9.992199898,0.520139992,1.508347034
5058719945327,0.348399013,0.040768001,0.001332000,9.983819962,0.513556004,1.502361059
5058721205693,0.345201999,0.042101000,0.005462000,9.981426239,0.512359023,1.508347034
5058722466056,0.342269987,0.043965999,0.009859000,9.966462135,0.523132980,1.510740995
5058723726422,0.338672996,0.044898000,0.014388000,9.926958084,0.528519988,1.504755020
5058724986785,0.335076004,0.045164999,0.017053001,9.869497299,0.517745972,1.506551027
5058726247151,0.331079006,0.044498999,0.018652000,9.812635422,0.517745972,1.522113085
5058727507516,0.328280985,0.042500000,0.019584000,9.762954712,0.526723981,1.526303053
5058728767880,0.326283008,0.041568000,0.021583000,9.742605209,0.521934986,1.535880089
5058730028245,0.323085010,0.040901002,0.023980999,9.745596886,0.514154017,1.543660998
5058731288608,0.320421010,0.040235002,0.025447000,9.753976822,0.520738006,1.528697014
5058732548974,0.316556990,0.040502001,0.026512999,9.743203163,0.522534013,1.520318031
5058733809337,0.312826008,0.040369000,0.028643999,9.735422134,0.520738006,1.522711992
5058735069703,0.310294986,0.039303001,0.031176001,9.737217903,0.525527000,1.522711992
5058736330068,0.306964010,0.039303001,0.032774001,9.721056938,0.530914009,1.538872957
5058737590431,0.303366989,0.040235002,0.034639999,9.706691742,0.528519988,1.558624983
5058738850797,0.300168991,0.040502001,0.036504999,9.706691742,0.530314982,1.556828976
5058740111160,0.297504991,0.039701998,0.037170999,9.724049568,0.537497997,1.540070057
5058741371526,0.293507993,0.039035998,0.037969999,9.722253799,0.538096011,1.532289028
5058742631891,0.289510995,0.039569002,0.039836001,9.712079048,0.542885005,1.537675977
5058743892255,0.286179990,0.040235002,0.040102001,9.712079048,0.544081986,1.538274050
5058745152620,0.283116013,0.040502001,0.040502001,9.710881233,0.536301017,1.538274050
5058746412983,0.279518992,0.040502001,0.041301001,9.706092834,0.531512022,1.531690001
5058747673349,0.276187986,0.040502001,0.041967001,9.700107574,0.529717028,1.523309946
5058748933660,0.273923010,0.040635001,0.043166000,9.709684372,0.526125014,1.522711992
5058750194025,0.270058990,0.040635001,0.044764999,9.714472771,0.526125014,1.528697014
5058751454391,0.266595006,0.040635001,0.046897002,9.710881233,0.521336973,1.525704980
5058752714754,0.263931006,0.041301001,0.048096001,9.701305389,0.511759996,1.525105953
5058753975120,0.261265993,0.041834000,0.048895001,9.693523407,0.504576981,1.527499914
5058755235483,0.258067995,0.041434001,0.050894000,9.692924500,0.512359023,1.519119978
5058756495849,0.253271997,0.040502001,0.052891999,9.677363396,0.516548991,1.519119978
5058757756214,0.249408007,0.039569002,0.055156998,9.650427818,0.513556004,1.529893994
5058759016577,0.246877000,0.038369998,0.057689000,9.634865761,0.523132980,1.539470911
5058760276943,0.244212002,0.037836999,0.058488000,9.618105888,0.526125014,1.549646974
5058761537306,0.240482002,0.037836999,0.059154000,9.606135368,0.517147005,1.549646974
5058762797672,0.236351997,0.037571002,0.061418999,9.600150108,0.517147005,1.540668011
5058764058035,0.232222006,0.036104999,0.063151002,9.585783958,0.515350997,1.537076950
5058765318400,0.227691993,0.034240000,0.065949000,9.578601837,0.510563016,1.529295921
5058766578766,0.224094003,0.033574000,0.068347000,9.576806068,0.504576981,1.523309946
5058767839129,0.220630005,0.033441000,0.069013000,9.551667213,0.492606014,1.523309946
5058769099495,0.216233999,0.032641001,0.070744999,9.521739960,0.493205011,1.527499914
5058770359858,0.212369993,0.031575002,0.072476998,9.505578995,0.502183020,1.525105953
5058771620224,0.208240002,0.030642999,0.073009998,9.485825539,0.492606014,1.511338949
5058772880589,0.204109997,0.029577000,0.073810004,9.469665527,0.481833011,1.498769999
5058774140952,0.201312006,0.027977999,0.075407997,9.445724487,0.481234014,1.495777011
5058775401318,0.197714999,0.025713000,0.077540003,9.425373077,0.486620992,1.500565052
5058776661681,0.193185002,0.024514001,0.079139002,9.402029037,0.501585007,1.495177984
5058777922047,0.189721003,0.024114000,0.079805002,9.378087044,0.510563016,1.498769999
5058779182410,0.187589005,0.022648999,0.081004001,9.356539726,0.504576981,1.503557920
5058780442776,0.184790999,0.021583000,0.082203001,9.331399918,0.497992992,1.510740995
5058781703141,0.181061000,0.020917000,0.084068000,9.314043045,0.500985980,1.532289028
5058782965431,0.177196994,0.019317999,0.085933998,9.306261063,0.489015013,1.545457006
5058784223870,0.174531996,0.018252000,0.087798998,9.314043045,0.491409004,1.544857979
5058785484233,0.171334997,0.016787000,0.090196997,9.318231583,0.495000988,1.542464018
5058786744599,0.167205006,0.015188000,0.091663003,9.311050415,0.473452985,1.541864991
5058788004962,0.164274007,0.014522000,0.093395002,9.300873756,0.465072989,1.534682989
5058789265275,0.161742002,0.014655000,0.095127001,9.301472664,0.463876009,1.523908973
5058790525641,0.158545002,0.015188000,0.096192002,9.309852600,0.459087998,1.532886982
5058791786056,0.154413998,0.014522000,0.097125001,9.292494774,0.451306999,1.549047947
5058793046370,0.150817007,0.013722000,0.098457001,9.290100098,0.430357009,1.553237915
5058794306733,0.148153007,0.013989000,0.100056000,9.300275803,0.422576010,1.554435015
5058795567099,0.146154001,0.014522000,0.100589000,9.305064201,0.414795011,1.538872957
5058796827464,0.143756002,0.014522000,0.101521999,9.318231583,0.398633987,1.533486009
5058798087827,0.141224995,0.014655000,0.103119999,9.332597733,0.383071989,1.549646974
5058799348193,0.139493003,0.015454000,0.104851998,9.328408241,0.371100992,1.550245047
5058800608556,0.136694998,0.016120000,0.106850997,9.327211380,0.356137007,1.548449039
5058801868922,0.133629993,0.017453000,0.108315997,9.345167160,0.351947010,1.556231022
5058803129285,0.131632000,0.018918000,0.109116003,9.355341911,0.344166011,1.565208912
5058804389650,0.129632995,0.019184999,0.110182002,9.363721848,0.334589005,1.571193933
5058805650016,0.127501994,0.018918000,0.111114003,9.373897552,0.348356009,1.563413024
5058806910379,0.125770003,0.018918000,0.110981002,9.404423714,0.338180006,1.553237915
5058808170745,0.123770997,0.020251000,0.110981002,9.419386864,0.332794011,1.539470911
5058809431108,0.120706998,0.021716001,0.112047002,9.422380447,0.339377999,1.536478043
5058810691474,0.119773999,0.022648999,0.113246001,9.430160522,0.347158998,1.546653986
5058811951839,0.118974999,0.022915000,0.113912001,9.436744690,0.344765007,1.531090975
5058813212202,0.116044000,0.022782000,0.113912001,9.452307701,0.343567014,1.526901960
5058814472568,0.114179000,0.025180001,0.114045002,9.446921349,0.357333988,1.544857979
5058815732931,0.112313002,0.026512999,0.114045002,9.431957245,0.350749999,1.547251940
5058816993297,0.109249003,0.026113000,0.113779001,9.432555199,0.350151002,1.553237915
5058818253660,0.106583998,0.025979999,0.112313002,9.437343597,0.362720996,1.552041054
5058819514025,0.104452997,0.025713000,0.110581003,9.436744690,0.369904011,1.534682989
5058820774391,0.101521999,0.025846001,0.110182002,9.440935135,0.363918006,1.523908973
5058822034754,0.099123999,0.026645999,0.108848996,9.454103470,0.356137007,1.508944988
5058823295120,0.097924002,0.027179001,0.108182997,9.454103470,0.353143990,1.493382931
5058824555483,0.095660001,0.026779000,0.108848996,9.437941551,0.349552989,1.479017973
5058825815849,0.093128003,0.026246000,0.107917003,9.440935135,0.354341000,1.469440937
