timestamp_ns,tx,ty,tz,qx,qy,qz,qw
5064265906000,0.889839000,2.153953000,0.156199000,-0.139614845,0.791602123,-0.592221313,0.056104282
5064267153000,0.889858000,2.153974000,0.156217000,-0.139552310,0.791597558,-0.592235778,0.056171541
5064268400000,0.889877000,2.153995000,0.156236000,-0.139488502,0.791592906,-0.592250573,0.056239553
5064269647000,0.889896000,2.154016000,0.156255000,-0.139423549,0.791588214,-0.592265664,0.056307690
5064270894000,0.889916000,2.154037000,0.156274000,-0.139357668,0.791583482,-0.592281035,0.056375587
5064272141000,0.889935000,2.154058000,0.156293000,-0.139290505,0.791578513,-0.592297006,0.056443514
5064273388000,0.889954000,2.154078000,0.156313000,-0.139221906,0.791573515,-0.592313287,0.056511950
5064274635000,0.889974000,2.154099000,0.156332000,-0.139152343,0.791568738,-0.592329436,0.056580901
5064275882000,0.889993000,2.154120000,0.156353000,-0.139081564,0.791564117,-0.592345626,0.056650030
5064277129000,0.890013000,2.154141000,0.156373000,-0.139009499,0.791559742,-0.592361776,0.056719142
5064278376000,0.890033000,2.154162000,0.156393000,-0.138936153,0.791555817,-0.592377590,0.056788421
5064279623000,0.890053000,2.154183000,0.156414000,-0.138861724,0.791552457,-0.592392876,0.056857796
5064280870000,0.890073000,2.154204000,0.156434000,-0.138786259,0.791549452,-0.592407925,0.056927060
5064282117000,0.890093000,2.154225000,0.156455000,-0.138709278,0.791546849,-0.592422768,0.056996367
5064283364000,0.890113000,2.154246000,0.156476000,-0.138630978,0.791544967,-0.592436907,0.057066003
5064284611000,0.890134000,2.154267000,0.156497000,-0.138551927,0.791543679,-0.592450404,0.057135675
5064285858000,0.890155000,2.154288000,0.156517000,-0.138472266,0.791542843,-0.592463419,0.057205391
5064287105000,0.890175000,2.154309000,0.156538000,-0.138391852,0.791542662,-0.592475726,0.057274972
5064288352000,0.890196000,2.154330000,0.156559000,-0.138310428,0.791543233,-0.592487247,0.057344563
5064289599000,0.890217000,2.154351000,0.156579000,-0.138227961,0.791544446,-0.592498076,0.057414734
5064290846000,0.890239000,2.154373000,0.156600000,-0.138144754,0.791546211,-0.592508313,0.057484964
5064292093000,0.890260000,2.154394000,0.156620000,-0.138061014,0.791548596,-0.592517928,0.057554167
5064293340000,0.890282000,2.154415000,0.156640000,-0.137976696,0.791551658,-0.592526848,0.057622379
5064294587000,0.890304000,2.154436000,0.156660000,-0.137891451,0.791555300,-0.592535177,0.057690711
5064295274000,0.890316000,2.154448000,0.156671000,-0.137844218,0.791557478,-0.592539586,0.057728417
5064295834000,0.890326000,2.154457000,0.156680000,-0.137805335,0.791559507,-0.592542962,0.057758767
5064297081000,0.890349000,2.154477000,0.156700000,-0.137718083,0.791564507,-0.592550001,0.057826093
5064298328000,0.890372000,2.154498000,0.156719000,-0.137630119,0.791569981,-0.592556565,0.057893287
5064299575000,0.890395000,2.154518000,0.156739000,-0.137541457,0.791575896,-0.592562720,0.057960085
5064300822000,0.890418000,2.154538000,0.156759000,-0.137451791,0.791582320,-0.592568475,0.058026195
5064302069000,0.890441000,2.154559000,0.156778000,-0.137361500,0.791589192,-0.592573845,0.058091371
5064303316000,0.890465000,2.154579000,0.156798000,-0.137270720,0.791596299,-0.592579047,0.058156018
5064304563000,0.890489000,2.154600000,0.156817000,-0.137179312,0.791603703,-0.592584008,0.058220335
5064305810000,0.890513000,2.154620000,0.156837000,-0.137087066,0.791611641,-0.592588468,0.058284251
5064307057000,0.890537000,2.154641000,0.156856000,-0.136993981,0.791620067,-0.592592475,0.058347891
